time, instructions, freed, alive, gc_latency (us)
3780271, 1282476, 1287324, 3938770, 2241163
3790271, 1286248, 1304638, 3938770, 2335802
3800271, 1251793, 1256537, 3938771, 2286731
3810271, 1252791, 1257535, 3938770, 2217665
3820271, 1303139, 1321586, 3938771, 2344702
3830271, 1264215, 1269007, 3938770, 2231563
3840271, 1288853, 1293725, 3938771, 2243709
3850271, 1304554, 1323010, 3938771, 2325665
3860271, 1271574, 1276393, 3938771, 2293482
3870271, 1264735, 1269517, 3938770, 2231602
3880271, 1296898, 1315328, 3938770, 2359931
3890271, 1248842, 1253575, 3938770, 2281972
3900271, 1263596, 1268377, 3938770, 2292941
3910271, 1290403, 1308804, 3938771, 2319816
3920271, 1280840, 1285692, 3938771, 2261203
3930271, 1277889, 1282724, 3938770, 2207010
3940271, 1303407, 1321857, 3938772, 2338823
3950271, 1250478, 1255217, 3938772, 2272541
3960271, 1259745, 1264513, 3938771, 2284059
3970271, 1274711, 1360029, 3885853, 2400230
3980271, 1235795, 1235797, 3890535, 2279669
3990271, 1258941, 1258944, 3895295, 2205095
4000271, 1314950, 1303968, 3938770, 2316977
4010271, 1278124, 1282969, 3938770, 2245702
4020271, 1289114, 1293990, 3938770, 2247537
4030271, 1301472, 1319914, 3938770, 2338830
4040271, 1266834, 1271635, 3938770, 2268190
4050271, 1264598, 1269385, 3938769, 2246999
4060271, 1308301, 1326768, 3938770, 2342286
4070271, 1278188, 1283032, 3938770, 2236793
4080271, 1300825, 1305745, 3938769, 2242391
4090271, 1311526, 1330007, 3938769, 2304292
4100271, 1286727, 1291605, 3938770, 2246367
4110271, 1281220, 1286070, 3938770, 2231817
4120271, 1301547, 1319984, 3938769, 2328942
4130271, 1276141, 1280980, 3938770, 2248515
4140271, 1288156, 1293035, 3938770, 2235235
4150271, 1291847, 1310250, 3938769, 2331135
4160271, 1266211, 1271007, 3938770, 2243691
4170271, 1270504, 1275318, 3938770, 2212650
4180271, 1302594, 1321036, 3938770, 2326478
4190271, 1268723, 1273531, 3938769, 2230455
4200271, 1288598, 1293478, 3938769, 2232318
4210271, 1287820, 1306209, 3938769, 2327864
4220271, 1262215, 1266996, 3938770, 2233285
4230271, 1261657, 1266437, 3938769, 2263114
4240271, 1281147, 1299502, 3938770, 2343352
4250271, 1262247, 1267035, 3938769, 2220389
4260271, 1294083, 1298984, 3938770, 2211310
4270271, 1298301, 1316730, 3938769, 2304407
4280271, 1261603, 1266381, 3938770, 2298811
4290271, 1247737, 1252464, 3938769, 2205738
4300271, 1310928, 1329402, 3938769, 2318824
4310271, 1277641, 1282482, 3938770, 2236763
4320271, 1292802, 1297700, 3938770, 2238266
4330271, 1289123, 1307515, 3938769, 2300517
4340271, 1271115, 1275933, 3938770, 2247200
4350271, 1263299, 1268080, 3938769, 2219445
4360271, 1301528, 1319969, 3938769, 2334139
4370271, 1260960, 1265741, 3938769, 2287653
4380271, 1275805, 1280634, 3938770, 2229851
4390271, 1298199, 1316625, 3938769, 2316386
4400271, 1274211, 1279039, 3938770, 2245744
4410271, 1272370, 1277190, 3938770, 2237170
4420271, 1290260, 1308653, 3938770, 2314447
4430271, 1268816, 1273627, 3938770, 2228235
4440271, 1288298, 1293178, 3938770, 2214638
4450271, 1294994, 1313404, 3938770, 2325166
4460271, 1257782, 1262550, 3938770, 2293797
4470271, 1254226, 1258978, 3938770, 2212613
4480271, 1304588, 1323035, 3938770, 2342152
4490271, 1265179, 1269977, 3938769, 2260336
4500271, 1276545, 1281379, 3938770, 2279657
4510271, 1276148, 1294491, 3938770, 2303086
4520271, 1269000, 1273811, 3938770, 2247503
4530271, 1266441, 1271234, 3938769, 2216155
4540271, 1292691, 1311096, 3938770, 2318639
4550271, 1270841, 1275661, 3938769, 2199577
4560271, 1298165, 1303080, 3938770, 2221643
4570271, 1295732, 1314145, 3938770, 2303096
4580271, 1272175, 1276999, 3938769, 2255329
4590271, 1263680, 1268468, 3938769, 2224871
4600271, 1300244, 1318673, 3938769, 2327359
4610271, 1265673, 1270471, 3938770, 2275513
4620271, 1270000, 1274812, 3938770, 2285674
4630271, 1267179, 1285486, 3938769, 2377023
4640271, 1249778, 1254515, 3938769, 2235713
4650271, 1263537, 1268320, 3938770, 2278382
4660271, 1286033, 1304413, 3938769, 2334822
4670271, 1275363, 1280195, 3938770, 2212591
4680271, 1309182, 1314142, 3938770, 2217059
4690271, 1299886, 1318316, 3938770, 2325763
4700271, 1265788, 1270586, 3938770, 2252967
4710271, 1256705, 1261467, 3938769, 2280271
4720271, 1264442, 1282737, 3938771, 2306740
4730271, 1258453, 1263220, 3938772, 2227739
4740271, 1272583, 1277405, 3938771, 2234558
4750271, 1284491, 1369286, 3886407, 2346210
4760271, 1239500, 1239504, 3891100, 2273995
4770271, 1239360, 1239362, 3895791, 2259623
4780271, 1289734, 1279149, 3938770, 2311197
4790271, 1265650, 1270450, 3938770, 2298388
4800271, 1268843, 1273642, 3938771, 2241021
4810271, 1284131, 1302509, 3938770, 2326736
4820271, 1255559, 1260317, 3938771, 2296683
4830271, 1251238, 1255967, 3938771, 2219475
4840271, 1303392, 1321848, 3938771, 2340149
4850271, 1263644, 1268433, 3938771, 2269629
4860271, 1280437, 1285279, 3938770, 2240283
4870271, 1300410, 1318849, 3938770, 2330768
4880271, 1263125, 1267915, 3938771, 2250982
4890271, 1264366, 1269144, 3938771, 2262715
4900271, 1289076, 1307478, 3938771, 2331793
4910271, 1267557, 1272361, 3938770, 2241322
4920271, 1277823, 1282652, 3938771, 2285093
4930271, 1286720, 1305112, 3938771, 2322337
4940271, 1269754, 1274567, 3938771, 2255071
4950271, 1271021, 1275823, 3938770, 2222945
4960271, 1298632, 1317071, 3938770, 2350532
4970271, 1247430, 1252156, 3938770, 2277245
4980271, 1269938, 1274739, 3938770, 2245594
4990271, 1294668, 1313090, 3938770, 2340142
5000271, 1260713, 1265489, 3938771, 2249634
5010271, 1257205, 1261963, 3938770, 2299595
5020271, 1277794, 1296148, 3938770, 2343092
5030271, 1272652, 1277477, 3938770, 2238433
5040271, 1285580, 1290441, 3938770, 2279153
5050271, 1289163, 1307560, 3938771, 2331096
5060271, 1260523, 1265302, 3938770, 2270740
5070271, 1248358, 1253084, 3938770, 2296468
5080271, 1268178, 1286492, 3938770, 2349991
5090271, 1257673, 1262442, 3938771, 2234785
5100271, 1281846, 1286692, 3938771, 2255155
5110271, 1294921, 1313340, 3938770, 2331432
5120271, 1272895, 1277719, 3938771, 2256462
5130271, 1271342, 1276151, 3938771, 2245837
5140271, 1294960, 1313380, 3938771, 2338335
5150271, 1255488, 1260248, 3938771, 2287897
5160271, 1268903, 1273702, 3938770, 2251693
5170271, 1293338, 1311750, 3938770, 2351991
5180271, 1261167, 1265949, 3938771, 2253486
5190271, 1267229, 1272022, 3938770, 2231403
5200271, 1292701, 1311111, 3938771, 2396798
5210271, 1252808, 1257556, 3938771, 2240534
5220271, 1287469, 1292340, 3938770, 2236448
5230271, 1301026, 1319466, 3938770, 2335969
5240271, 1275251, 1280087, 3938771, 2244568
5250271, 1275271, 1280093, 3938770, 2234331
5260271, 1297789, 1316219, 3938771, 2382764
5270271, 1266025, 1270823, 3938770, 2232733
5280271, 1297246, 1302156, 3938770, 2247792
5290271, 1309453, 1327923, 3938771, 2323158
5300271, 1281205, 1286059, 3938770, 2254345
5310271, 1280749, 1285591, 3938771, 2235829
5320271, 1304158, 1322613, 3938771, 2354782
5330271, 1260031, 1264808, 3938770, 2241673
5340271, 1287619, 1292485, 3938771, 2248714
5350271, 1287618, 1306014, 3938771, 2331578
5360271, 1258311, 1263080, 3938770, 2245460
5370271, 1264567, 1269349, 3938771, 2240991
5380271, 1295964, 1314388, 3938771, 2352733
5390271, 1266423, 1271223, 3938770, 2264588
5400271, 1286223, 1291085, 3938770, 2248767
5410271, 1309422, 1327897, 3938771, 2308204
5420271, 1283200, 1288066, 3938771, 2255279
5430271, 1281682, 1286532, 3938771, 2247081
5440271, 1289125, 1307518, 3938770, 2346127
5450271, 1244923, 1249643, 3938771, 2315605
5460271, 1259633, 1264395, 3938770, 2218779
5470271, 1281251, 1299622, 3938771, 2396499
5480271, 1237569, 1242261, 3938770, 2256560
5490271, 1257033, 1261790, 3938771, 2232236
5500271, 1284039, 1302413, 3938771, 2333272
5510271, 1255279, 1260037, 3938772, 2233460
5520271, 1278151, 1282986, 3938771, 2219593
5530271, 1292504, 1377937, 3885806, 2359089
5540271, 1238418, 1238421, 3890499, 2282997
5550271, 1251526, 1251528, 3895231, 2200732
5560271, 1300708, 1289606, 3938771, 2361525
5570271, 1258170, 1262941, 3938771, 2294365
5580271, 1273877, 1278697, 3938770, 2244340
5590271, 1296312, 1314735, 3938770, 2384437
5600271, 1265469, 1270265, 3938771, 2264473
5610271, 1278095, 1282931, 3938770, 2234234
5620271, 1301310, 1319750, 3938770, 2343424
5630271, 1262418, 1267207, 3938770, 2263474
5640271, 1269096, 1273895, 3938770, 2298031
5650271, 1280485, 1298849, 3938771, 2330263
5660271, 1271346, 1276164, 3938771, 2265248
5670271, 1266638, 1271428, 3938771, 2241333
5680271, 1300449, 1318891, 3938770, 2335668
5690271, 1273720, 1278549, 3938770, 2257760
5700271, 1289264, 1294139, 3938770, 2230619
5710271, 1299591, 1318025, 3938771, 2342549
5720271, 1251576, 1256323, 3938771, 2311577
5730271, 1249116, 1253839, 3938771, 2232149
5740271, 1304428, 1322881, 3938771, 2337433
5750271, 1265544, 1270344, 3938771, 2299299
5760271, 1276014, 1280840, 3938771, 2226387
5770271, 1306465, 1324927, 3938770, 2335952
5780271, 1263631, 1268422, 3938771, 2314356
5790271, 1254490, 1259234, 3938771, 2230174
5800271, 1306567, 1325028, 3938770, 2330271
5810271, 1279367, 1284216, 3938771, 2247344
5820271, 1294370, 1299269, 3938771, 2232564
5830271, 1304477, 1322930, 3938770, 2327848
