time, instructions, freed, alive, gc_latency (us)
36900, 19155, 27970, 29, 9279
37000, 19242, 28101, 26, 9312
37100, 19171, 27993, 26, 9290
37200, 19230, 28079, 27, 9302
37300, 19206, 28044, 28, 9299
37400, 19200, 28037, 28, 9294
37500, 19125, 27929, 26, 9275
37600, 19205, 28042, 27, 9300
37700, 19259, 28122, 28, 9313
37800, 19228, 28078, 27, 9310
37900, 19195, 28030, 26, 9285
38000, 19238, 28091, 27, 9302
38100, 19131, 27937, 25, 9275
38200, 19230, 28078, 28, 9321
38300, 19202, 28041, 27, 9292
38400, 19212, 28056, 24, 9289
38500, 19145, 27953, 27, 9289
38600, 19183, 28011, 28, 9291
38700, 19272, 28142, 26, 9330
38800, 19315, 28204, 27, 9343
38900, 19296, 28177, 28, 9349
39000, 19197, 28031, 28, 9290
39100, 19217, 28062, 27, 9297
39200, 19233, 28083, 29, 9306
39300, 19146, 27958, 28, 9287
39400, 19188, 28023, 24, 9284
39500, 19186, 28013, 26, 9282
39600, 19334, 28232, 26, 9336
39700, 19232, 28082, 28, 9305
39800, 19190, 28022, 28, 9289
39900, 19221, 28067, 28, 9304
40000, 19258, 28121, 28, 9325
40100, 18944, 27663, 28, 9591
40200, 19039, 27803, 26, 9349
40300, 19189, 28020, 27, 9292
40400, 19296, 28175, 27, 9338
40500, 19319, 28209, 28, 9336
40600, 19239, 28094, 28, 9354
40700, 19200, 28039, 25, 9319
40800, 19166, 27984, 28, 9279
40900, 19093, 27881, 27, 9250
41000, 19232, 28082, 28, 9305
41100, 19090, 27879, 27, 9265
41200, 19199, 28033, 28, 9286
41300, 19195, 28029, 27, 9290
41400, 19224, 28071, 27, 9309
41500, 19167, 27988, 28, 9292
41600, 19176, 28001, 28, 9290
41700, 19238, 28093, 26, 9319
41800, 19169, 27992, 26, 9288
41900, 19181, 28009, 25, 9296
42000, 19189, 28018, 28, 9288
42100, 19179, 28008, 25, 9299
42200, 19197, 28029, 28, 9286
42300, 19258, 28124, 26, 9320
42400, 19261, 28123, 28, 9354
42500, 19200, 28038, 27, 9305
42600, 19188, 28018, 26, 9287
42700, 19296, 28178, 27, 9322
42800, 19289, 28164, 28, 9327
42900, 19223, 28075, 24, 9306
43000, 19254, 28110, 28, 9310
43100, 19297, 28181, 26, 9339
43200, 19275, 28143, 28, 9337
43300, 19174, 28001, 25, 9281
43400, 19288, 28165, 26, 9316
43500, 19268, 28133, 27, 9348
43600, 19158, 27975, 28, 9269
43700, 19286, 28167, 24, 9326
43800, 19293, 28167, 28, 9329
43900, 19260, 28127, 26, 9328
44000, 19208, 28046, 28, 9287
44100, 19193, 28027, 26, 9286
44200, 19224, 28069, 29, 9292
44300, 19296, 28179, 27, 9319
44400, 19269, 28135, 28, 9325
44500, 19191, 28024, 27, 9286
44600, 19199, 28034, 29, 9286
44700, 19279, 28153, 28, 9331
44800, 19248, 28106, 28, 9324
44900, 19239, 28094, 27, 9304
45000, 19281, 28153, 29, 9331
45100, 19295, 28178, 26, 9332
45200, 19275, 28144, 27, 9335
45300, 19172, 27995, 28, 9280
45400, 19154, 27969, 28, 9277
45500, 19215, 28058, 28, 9292
45600, 19158, 27976, 28, 9280
45700, 19229, 28078, 29, 9302
45800, 19306, 28192, 27, 9327
