trial,hw_to_kernel,kernel_to_user,total
1055, 371, 342, 741
1056, 370, 342, 741
1057, 371, 342, 741
1058, 370, 342, 741
1059, 371, 342, 741
1060, 370, 342, 741
1061, 371, 342, 741
1062, 370, 342, 741
1063, 371, 342, 741
1064, 370, 342, 741
1065, 371, 342, 741
1066, 370, 342, 769
1067, 342, 342, 741
1068, 371, 313, 741
1069, 370, 342, 741
1070, 371, 342, 741
1071, 370, 342, 741
1072, 371, 342, 741
1073, 370, 342, 741
1074, 371, 342, 741
1075, 370, 342, 741
1076, 371, 342, 741
1077, 370, 342, 741
1078, 371, 342, 741
1079, 370, 342, 769
1080, 342, 342, 741
1081, 371, 313, 741
1082, 370, 342, 741
1083, 371, 342, 741
1084, 370, 342, 741
1085, 371, 342, 741
1086, 370, 342, 741
1087, 371, 342, 741
1088, 370, 342, 741
1089, 371, 342, 741
1090, 370, 342, 741
1091, 371, 342, 741
1092, 370, 342, 769
1093, 342, 342, 741
1094, 371, 313, 741
1095, 370, 342, 741
1096, 371, 342, 741
1097, 370, 342, 741
1098, 371, 342, 741
1099, 370, 342, 741
1100, 371, 342, 741
1101, 370, 342, 741
1102, 371, 342, 741
1103, 370, 342, 741
1104, 371, 342, 770
1105, 369, 342, 768
1106, 370, 314, 741
1107, 371, 342, 741
1108, 370, 342, 741
1109, 371, 342, 741
1110, 370, 342, 741
1111, 371, 342, 741
1112, 370, 342, 741
1113, 371, 342, 741
1114, 370, 342, 769
1115, 370, 314, 741
1116, 371, 342, 741
1117, 370, 342, 741
1118, 371, 342, 741
1119, 370, 342, 741
1120, 371, 342, 741
1121, 370, 342, 741
1122, 371, 342, 770
1123, 342, 342, 741
1124, 370, 342, 741
1125, 371, 342, 741
1126, 370, 342, 741
1127, 371, 342, 741
1128, 370, 342, 741
1129, 371, 342, 741
1130, 370, 342, 769
1131, 342, 342, 741
1132, 371, 342, 741
1133, 370, 342, 741
1134, 371, 342, 741
1135, 399, 342, 770
1136, 371, 342, 741
1137, 370, 342, 741
1138, 371, 342, 741
1139, 370, 342, 769
1140, 370, 342, 741
1141, 371, 342, 741
1142, 370, 342, 741
1143, 371, 342, 741
1144, 370, 342, 769
1145, 370, 314, 741
1146, 371, 342, 741
1147, 370, 342, 741
1148, 371, 342, 741
1149, 370, 342, 769
1150, 370, 342, 741
1151, 371, 342, 741
1152, 370, 342, 741
1153, 371, 342, 741
1154, 370, 342, 769
1155, 370, 314, 741
1156, 371, 342, 741
1157, 370, 342, 741
1158, 371, 342, 741
1159, 370, 342, 741
1160, 371, 342, 770
1161, 342, 342, 741
1162, 370, 342, 741
1163, 371, 342, 741
1164, 370, 342, 741
1165, 371, 342, 741
1166, 370, 342, 769
1167, 370, 342, 741
1168, 371, 342, 741
1169, 370, 342, 741
1170, 371, 342, 741
1171, 370, 342, 741
1172, 371, 342, 741
1173, 370, 342, 769
