time, instructions, freed, alive, gc_latency (us)
4050000, 1681672, 2246889, 100842, 1025014
4060000, 1720038, 2098430, 95703, 974258
4070000, 1701771, 2275418, 100882, 1079944
4080000, 1708509, 2079637, 95701, 980601
4090000, 1696626, 2274171, 100856, 1060095
4100000, 1707721, 2086050, 91096, 1016040
4110000, 1684183, 2257318, 95723, 1026095
4120000, 1718225, 2095307, 96944, 963606
4130000, 1703056, 2272924, 100862, 1092487
4140000, 1699708, 2085375, 97653, 981526
4150000, 1703781, 2266094, 100863, 1058065
4160000, 1710018, 2107642, 98270, 1064567
4170000, 1680772, 2228522, 100882, 1021985
4180000, 1714133, 2124724, 93537, 977034
4190000, 1705223, 2261885, 96268, 1079155
4200000, 1700024, 2094738, 99104, 979638
4210000, 1703043, 2284869, 87700, 1064781
4220000, 1704563, 2079900, 99463, 997309
4230000, 1693667, 2275174, 92781, 1070227
4240000, 1702070, 2073486, 99653, 972828
4250000, 1704573, 2298802, 90045, 1102947
4260000, 1695367, 2060945, 94803, 987564
4270000, 1699337, 2284193, 95540, 1062124
4280000, 1708093, 2075315, 100058, 1002811
4290000, 1690793, 2281059, 95702, 1064696
4300000, 1706920, 2070314, 100217, 953192
4310000, 1709464, 2303077, 95694, 1104645
4320000, 1700959, 2065512, 100443, 962923
4330000, 1705846, 2303892, 90547, 1083353
4340000, 1701281, 2065845, 95420, 980735
4350000, 1696278, 2270464, 91143, 1057714
4360000, 1706015, 2082394, 100598, 951586
4370000, 1717903, 2266466, 95051, 1083204
4380000, 1692804, 2102885, 100716, 1002668
4390000, 1710201, 2227638, 95579, 1020118
4400000, 1704723, 2147622, 100734, 1040690
4410000, 1702209, 2191180, 90573, 996489
4420000, 1708718, 2183577, 95638, 979947
4430000, 1722219, 2180510, 91443, 1011200
4440000, 1704923, 2205579, 100784, 1003655
4450000, 1718872, 2172567, 93355, 987288
4460000, 1705848, 2215491, 100832, 1046871
4470000, 1701417, 2141454, 94304, 980305
4480000, 1705598, 2221892, 100915, 1017287
4490000, 1723294, 2166775, 89878, 1012000
4500000, 1697589, 2221629, 95779, 1022618
4510000, 1721300, 2144361, 95408, 983347
4520000, 1703374, 2238751, 100898, 1079145
4530000, 1697867, 2110457, 95574, 976369
4540000, 1705098, 2248178, 100901, 1009859
4550000, 1718966, 2128988, 95656, 999352
4560000, 1689291, 2236900, 100858, 1034443
4570000, 1708410, 2113106, 90581, 976384
4580000, 1700556, 2258841, 95783, 1074831
4590000, 1701607, 2086354, 95716, 963428
4600000, 1704459, 2271243, 100863, 1060994
4610000, 1715997, 2101208, 95724, 1018683
4620000, 1691165, 2255351, 100889, 1044449
4630000, 1718608, 2102539, 95701, 969416
4640000, 1697850, 2265284, 100874, 1115912
4650000, 1690733, 2070171, 90582, 957896
4660000, 1703671, 2275131, 95743, 1051126
4670000, 1716946, 2085898, 95702, 982087
4680000, 1695767, 2271132, 100884, 1081507
4690000, 1705810, 2074280, 95795, 958450
4700000, 1701072, 2281406, 100874, 1112249
4710000, 1689857, 2060757, 96411, 954010
4720000, 1702849, 2278049, 100883, 1056224
4730000, 1705418, 2092637, 92083, 990750
4740000, 1699773, 2266014, 95761, 1074923
4750000, 1703110, 2087204, 97789, 959632
4760000, 1708001, 2268185, 100847, 1119117
4770000, 1684224, 2075686, 98230, 957598
4780000, 1708415, 2264272, 100869, 1051388
4790000, 1702194, 2104373, 98743, 1031317
4800000, 1685489, 2232692, 100801, 1123885
4810000, 1676405, 2074441, 93701, 961023
4820000, 1707738, 2283958, 80795, 1123099
4830000, 1686651, 2057415, 99099, 938715
4840000, 1715973, 2303807, 90322, 1071156
4850000, 1699784, 2071748, 99558, 991295
4860000, 1696483, 2280263, 93711, 1087261
4870000, 1700569, 2070292, 99749, 971673
4880000, 1701837, 2295952, 90193, 1119318
4890000, 1683367, 2043269, 94746, 946365
4900000, 1708517, 2297229, 95654, 1073696
4910000, 1703269, 2067683, 100079, 990068
4920000, 1692589, 2283877, 95709, 1089579
4930000, 1701251, 2061957, 100198, 1027643
4940000, 1691555, 2283132, 95695, 1133515
4950000, 1681883, 2035149, 100257, 962410
4960000, 1705198, 2300153, 90579, 1078890
4970000, 1700369, 2066982, 95350, 971581
4980000, 1702623, 2297754, 86479, 1089341
4990000, 1701639, 2057800, 100588, 929737
5000000, 1723881, 2294519, 93710, 1111737
5010000, 1683420, 2069905, 100656, 968862
5020000, 1713808, 2256609, 95184, 1060069
5030000, 1697543, 2113571, 100748, 979508
5040000, 1712187, 2227600, 90570, 1032964
5050000, 1701743, 2150966, 95659, 978283
5060000, 1719784, 2189832, 95685, 1036689
5070000, 1684930, 2166435, 100814, 987409
5080000, 1721534, 2184587, 91567, 995314
5090000, 1700176, 2199929, 100839, 1027310
5100000, 1707314, 2158576, 93133, 1015229
5110000, 1696547, 2201836, 100870, 1002967
5120000, 1721321, 2173968, 89187, 1028199
5130000, 1686963, 2196635, 95769, 993265
5140000, 1723543, 2159267, 94868, 991699
5150000, 1704820, 2228888, 100887, 1023616
5160000, 1708634, 2135682, 95298, 1006573
5170000, 1692970, 2221061, 100863, 1001489
5180000, 1721018, 2143965, 95562, 1019979
5190000, 1682355, 2215332, 100914, 1007236
5200000, 1725502, 2146944, 90505, 986179
5210000, 1699290, 2246426, 95781, 1028103
5220000, 1718999, 2118314, 95703, 998371
5230000, 1695808, 2250974, 100857, 1010013
5240000, 1726369, 2123543, 95717, 1012314
5250000, 1677655, 2236344, 100905, 1024344
5260000, 1721677, 2110438, 95718, 971219
5270000, 1696485, 2261839, 100850, 1074220
5280000, 1709742, 2098404, 90581, 1016275
5290000, 1688838, 2252719, 95743, 1021503
5300000, 1721747, 2097021, 95704, 974355
5310000, 1681205, 2248914, 100842, 1021918
5320000, 1723132, 2099256, 95703, 964810
5330000, 1704814, 2281602, 100885, 1081869
5340000, 1707051, 2076662, 95872, 980150
5350000, 1698482, 2277784, 100871, 1074548
5360000, 1707219, 2089535, 91569, 967444
5370000, 1685616, 2254413, 95758, 1064392
5380000, 1708055, 2086235, 97292, 963597
5390000, 1708516, 2276151, 100846, 1083511
5400000, 1696022, 2084578, 97851, 978089
5410000, 1704340, 2263139, 100848, 1062167
5420000, 1701580, 2099475, 98394, 1026686
5430000, 1681274, 2227835, 100883, 1009769
5440000, 1713496, 2124258, 93690, 984496
5450000, 1700694, 2252840, 100371, 1076581
5460000, 1697286, 2093667, 99085, 991561
5470000, 1699622, 2280206, 87803, 1059403
5480000, 1705046, 2080335, 99511, 969793
5490000, 1688102, 2267343, 92423, 1050069
5500000, 1711503, 2086520, 99642, 959575
5510000, 1707588, 2303314, 90194, 1101126
5520000, 1698873, 2065103, 94811, 975189
5530000, 1701782, 2288335, 95658, 1064489
